"","weight","hindfoot_length","sex","species_id"
"1",40,35,"M","DM"
"2",48,37,"M","DM"
"3",29,34,"F","DM"
"4",46,35,"F","DM"
"5",36,35,"M","DM"
"6",52,32,"F","DO"
"7",8,15,"M","PF"
"8",22,21,"F","OX"
"9",35,36,"F","DM"
"10",7,12,"M","PF"
"11",22,32,"F","DM"
"12",9,16,"M","PF"
"13",42,34,"F","DM"
"14",8,14,"F","PF"
"15",41,35,"F","DM"
"16",37,37,"F","DM"
"17",43,35,"F","DM"
"18",41,35,"F","DM"
"19",40,33,"F","DM"
"20",9,11,"F","PF"
"21",45,35,"F","DM"
"22",15,20,"F","PP"
"23",29,35,"M","DM"
"24",39,35,"M","DM"
"25",43,36,"F","DM"
"26",46,38,"M","DM"
"27",41,36,"M","DM"
"28",41,36,"M","DM"
"29",40,38,"M","DM"
"30",45,37,"M","DM"
"31",46,35,"F","DM"
"32",40,35,"F","DM"
"33",30,35,"F","DM"
"34",39,35,"M","DM"
"35",34,35,"M","DM"
"36",42,37,"F","DM"
"37",42,37,"M","DM"
"38",8,13,"F","PF"
"39",31,37,"F","DM"
"40",40,36,"F","DM"
"41",37,36,"M","DM"
"42",48,36,"M","DM"
"43",42,37,"M","DM"
"44",45,39,"F","DM"
"45",16,21,"F","PP"
"46",36,36,"F","DM"
"47",42,36,"M","DM"
"48",44,36,"M","DM"
"49",41,36,"F","DM"
"50",40,36,"F","DM"
"51",34,37,"M","DM"
"52",40,33,"M","DM"
"53",44,33,"M","DM"
"54",44,37,"M","DM"
"55",36,34,"M","DM"
"56",33,35,"M","DM"
"57",46,37,"F","DM"
"58",35,34,"F","DM"
"59",46,36,"M","DM"
"60",37,33,"F","DM"
"61",34,36,"M","DM"
"62",45,36,"F","DM"
"63",7,15,"F","PF"
"64",51,37,"M","DM"
"65",39,35,"M","DM"
"66",29,36,"M","DM"
"67",48,32,"F","DM"
"68",46,38,"M","DM"
"69",41,37,"F","DM"
"70",45,37,"M","DM"
"71",42,35,"F","DM"
"72",53,36,"F","DM"
"73",49,35,"F","DM"
"74",46,36,"F","DM"
"75",9,13,"F","PF"
"76",15,19,"F","PP"
"77",4,13,"M","PF"
"78",48,36,"M","DM"
"79",51,37,"M","DM"
"80",50,38,"M","DM"
"81",44,35,"M","DM"
"82",44,25,"M","DM"
"83",45,35,"M","DM"
"84",45,37,"F","DM"
"85",19,20,"M","PE"
"86",22,19,"M","OX"
"87",44,38,"F","DM"
"88",42,36,"F","DM"
"89",39,37,"M","DM"
"90",47,37,"M","DM"
"91",42,36,"M","DM"
"92",49,36,"M","DM"
"93",39,38,"M","DM"
"94",43,36,"F","DM"
"95",50,35,"M","DM"
"96",41,36,"M","DM"
"97",47,37,"M","DM"
"98",37,36,"F","DM"
"99",41,36,"M","DM"
"100",36,36,"F","DM"
"101",45,36,"M","DM"
"102",20,19,"M","PE"
"103",40,37,"M","DM"
"104",49,38,"M","DM"
"105",55,36,"F","DM"
"106",46,37,"M","DM"
"107",38,36,"F","DM"
"108",44,37,"M","DM"
"109",21,20,"F","OL"
"110",41,37,"M","DM"
"111",46,37,"M","DM"
"112",36,34,"M","DM"
"113",44,37,"M","DM"
"114",53,36,"M","DM"
"115",41,38,"M","DM"
"116",48,37,"M","DM"
"117",47,38,"M","DM"
"118",33,36,"F","DO"
"119",42,36,"F","DM"
"120",50,37,"F","DO"
"121",41,36,"M","DM"
"122",49,36,"M","DM"
"123",44,36,"F","DM"
"124",31,36,"M","DM"
"125",40,37,"M","DM"
"126",40,35,"F","DM"
"127",23,33,"M","DM"
"128",42,36,"M","DM"
"129",13,18,"M","RM"
"130",42,36,"F","DM"
"131",31,35,"M","DM"
"132",39,36,"M","DM"
"133",48,37,"M","DM"
"134",48,32,"F","DO"
"135",29,33,"M","DM"
"136",45,36,"M","DM"
"137",39,35,"F","DM"
"138",31,33,"F","DO"
"139",43,37,"M","DM"
"140",8,16,"M","PF"
"141",45,37,"F","DM"
"142",40,36,"M","DM"
"143",41,35,"F","DO"
"144",41,37,"M","DM"
"145",39,36,"F","DM"
"146",25,34,"M","DM"
"147",45,34,"F","DM"
"148",36,37,"F","DM"
"149",40,38,"F","DM"
"150",44,36,"M","DM"
"151",47,37,"M","DM"
"152",40,36,"M","DM"
"153",44,38,"M","DM"
"154",44,32,"F","DO"
"155",117,50,"F","DS"
"156",7,16,"F","PF"
"157",40,36,"M","DM"
"158",39,35,"F","DM"
"159",40,36,"F","DM"
"160",121,51,"F","DS"
"161",46,37,"M","DM"
"162",35,38,"F","DM"
"163",115,51,"M","DS"
"164",7,16,"F","PF"
"165",39,36,"F","DM"
"166",40,35,"M","DM"
"167",40,36,"M","DM"
"168",35,36,"F","DM"
"169",36,34,"M","DM"
"170",44,37,"M","DM"
"171",6,15,"F","PF"
"172",7,15,"F","PF"
"173",120,48,"F","DS"
"174",48,33,"M","DO"
"175",44,36,"M","DM"
"176",38,33,"F","DM"
"177",118,48,"F","DS"
"178",40,37,"M","DM"
"179",126,52,"F","DS"
"180",37,36,"M","DM"
"181",132,50,"M","DS"
"182",39,36,"F","DM"
"183",7,15,"M","PF"
"184",122,53,"F","DS"
"185",107,48,"F","DS"
"186",43,36,"M","DM"
"187",40,36,"F","DM"
"188",7,16,"F","RM"
"189",115,50,"F","DS"
"190",39,36,"F","DM"
"191",40,37,"M","DM"
"192",116,50,"F","DS"
"193",6,9,"F","PF"
"194",38,36,"F","DM"
"195",137,53,"M","DS"
"196",42,36,"M","DM"
"197",126,52,"M","DS"
"198",112,49,"F","DS"
"199",39,34,"F","DO"
"200",41,36,"F","DM"
"201",48,38,"F","DM"
"202",121,51,"F","DS"
"203",42,37,"F","DM"
"204",42,36,"M","DM"
"205",52,37,"M","DM"
"206",38,36,"F","DM"
"207",45,36,"M","DM"
"208",37,37,"F","DM"
"209",40,33,"F","DO"
"210",7,15,"F","PF"
"211",44,38,"M","DM"
"212",7,16,"F","PF"
"213",33,37,"F","DM"
"214",38,37,"F","DM"
"215",47,36,"M","DM"
"216",39,36,"F","DM"
"217",7,16,"F","PF"
"218",42,35,"M","DM"
"219",36,38,"M","DM"
"220",44,37,"M","DM"
"221",116,51,"M","DS"
"222",43,35,"M","DM"
"223",45,33,"M","DO"
"224",116,51,"F","DS"
"225",42,36,"M","DM"
"226",38,36,"F","DM"
"227",41,36,"M","DM"
"228",40,36,"M","DM"
"229",134,49,"M","DS"
"230",139,49,"M","DS"
"231",118,51,"F","DS"
"232",41,32,"F","DO"
"233",37,35,"M","DM"
"234",6,15,"M","PF"
"235",127,49,"F","DS"
"236",6,15,"F","PF"
"237",115,47,"F","DS"
"238",40,36,"F","DM"
"239",114,47,"F","DS"
"240",37,35,"F","DM"
"241",46,37,"M","DM"
"242",149,49,"M","DS"
"243",38,37,"F","DM"
"244",127,52,"M","DS"
"245",36,38,"F","DM"
"246",41,37,"M","DM"
"247",44,37,"M","DM"
"248",138,48,"M","DS"
"249",110,49,"M","DS"
"250",110,49,"F","DS"
"251",37,36,"F","DM"
"252",7,16,"M","PF"
"253",121,51,"F","DS"
"254",43,36,"F","DM"
"255",43,36,"M","DM"
"256",44,35,"M","DM"
"257",36,36,"F","DM"
"258",8,16,"F","PF"
"259",38,36,"M","DM"
"260",122,48,"F","DS"
"261",7,16,"M","PF"
"262",46,38,"M","DM"
"263",22,26,"M","PE"
"264",38,36,"M","DM"
"265",48,38,"M","DM"
"266",7,15,"M","PF"
"267",43,36,"M","DM"
"268",35,37,"F","DM"
"269",43,36,"M","DM"
"270",36,34,"M","DM"
"271",117,51,"F","DS"
"272",37,37,"F","DM"
"273",122,51,"M","DS"
"274",43,36,"M","DM"
"275",42,37,"M","DM"
"276",40,36,"M","DM"
"277",37,34,"F","DM"
"278",117,47,"F","DS"
"279",40,36,"M","DM"
"280",40,36,"M","DM"
"281",132,49,"M","DS"
"282",36,38,"F","DM"
